지역,사업장명,의사수,위도,경도
처인구,명주병원,275.0,37.2353962643,127.2010748933
수지구,한솔이비인후과의원,1.0,37.3319501026,127.1239218006
처인구,자연한의원,1.0,37.2682067189,127.2154834552
수지구,경희올한의원,1.0,37.3130500075,127.0790213261
수지구,경희누리한의원,1.0,37.2976750233,127.0697533954
수지구,소솜치과의원,1.0,37.2967243935,127.0686079554
기흥구,안문생한의원,1.0,37.2555488527,127.0915203989
기흥구,다건연세내과의원,4.0,37.3202578404,127.1151202264
수지구,서울삼성치과의원,1.0,37.3067600253,127.0846083156
수지구,스킨딥의원,2.0,37.3139277057,127.0799644105
기흥구,우리들소아청소년과의원,1.0,37.2937905111,127.1199260466
수지구,샬롬한의원,1.0,37.3168060655,127.0682562124
처인구,서울특별시 백암정신병원,20.0,37.1221270912,127.3648146702
수지구,아산필내과의원,7.0,37.3283480149,127.1138034608
처인구,용인아산내과의원,7.0,37.2353510478,127.2082451953
수지구,죽전에스S치과의원,1.0,37.3275359689,127.1135592918
기흥구,타임리스피부과의원,1.0,37.2941660066,127.118965143
수지구,강경태한의원,1.0,37.3199399973,127.0876621118
기흥구,용인정신병원,52.0,37.250729009,127.1546471639
수지구,올리브한의원,1.0,37.2949848621,127.0786594287
처인구,용인서울안과의원,1.0,37.235083647,127.2058223717
수지구,빛마취통증의학과의원,1.0,37.3382501682,127.1016959956
기흥구,갈보리치과의원,1.0,37.2731393595,127.137095601
기흥구,정다운치과의원,1.0,37.2617409846,127.1046592868
처인구,마음평온정신건강의학과의원,1.0,37.2322167274,127.1880329538
수지구,이태훈한의원,1.0,37.3321706096,127.1085348797
수지구,경희탑한의원,1.0,37.3067600253,127.0846083156
수지구,경희태동한의원,1.0,37.3354159933,127.1086535026
기흥구,함소아한의원,1.0,37.2779963615,127.1515897965
기흥구,보정숲정신건강의학과의원,1.0,37.3202924261,127.114668593
기흥구,재단법인에스디의학연구소 에스디의원(SD Lab),11.0,37.2603992502,127.1602643207
수지구,초이스이비인후과의원,3.0,37.3231779493,127.0779941675
처인구,오케이경희한의원,1.0,37.3361500107,127.2497034863
수지구,광교이음치과의원,1.0,37.2973592969,127.0696874958
기흥구,경희홀케어한의원,1.0,37.2883094786,127.1114246917
처인구,하얀치과의원,2.0,37.2368043634,127.1982733829
수지구,본경희한의원,1.0,37.3231779493,127.0779941675
기흥구,광덕안정한의원 용인죽전점,4.0,37.3207588943,127.1112238303
수지구,경희일리한의원,1.0,37.3275439536,127.0689058916
수지구,성복이안소아청소년과의원,1.0,37.3126742793,127.0798246757
수지구,수지튼튼신경외과의원,2.0,37.3231779493,127.0779941675
기흥구,모드니치과의원,1.0,37.2660505356,127.1358438915
수지구,경희약손한의원,1.0,37.3283480149,127.1138034608
기흥구,성광한의원,1.0,37.2422439652,127.1184712739
수지구,바로웰병원,23.0,37.3312704157,127.1171636344
기흥구,탑실피오레치과의원,1.0,37.2388998036,127.1101789858
기흥구,예임정형외과의원,1.0,37.2950944527,127.1134093909
수지구,연세메디웰내과의원,2.0,37.3319622673,127.1220817674
수지구,경희휴한의원,1.0,37.3073759262,127.0854512638
기흥구,새로운경기도립정신병원,20.0,37.250729009,127.1546471639
수지구,누리가정의학과의원,1.0,37.3003038295,127.0713406671
수지구,빌리지연세치과의원,1.0,37.3131101297,127.0781858757
수지구,가온한의원,1.0,37.3238103038,127.096478643
수지구,수지봄한의원,1.0,37.331960694,127.1244184275
수지구,미래연세내과의원,1.0,37.3064741979,127.085354655
수지구,미아뜨의원,1.0,37.3222451847,127.0948052915
수지구,경희인애한의원,1.0,37.3284691292,127.1150106194
수지구,수지온한의원,1.0,37.3242196512,127.0949301342
기흥구,디오비치과의원,1.0,37.3202578404,127.1151202264
수지구,한솔병인한의원,1.0,37.3067600253,127.0846083156
기흥구,동백성루카병원,40.0,37.2656715065,127.1506540969
수지구,허원장성장의원,2.0,37.3131101297,127.0781858757
기흥구,동백미즈산부인과의원,6.0,37.2776789103,127.1539939153
기흥구,연세프라임병원,35.0,37.296756075,127.1088538757
처인구,서울수치과의원,2.0,37.1643960774,127.3742568855
기흥구,아이가행복한치과의원,1.0,37.2811266369,127.1118113199
기흥구,김상수병원,6.0,37.2933628028,127.1214738877
처인구,서울본정형외과의원,2.0,37.2374261431,127.2090038363
기흥구,보스톤아름다운치과의원,1.0,37.2947814666,127.1519749876
수지구,미시간피부과의원,1.0,37.3233288858,127.077349972
수지구,주영치과의원,1.0,37.3283695059,127.0678852893
수지구,명가정의학과의원,2.0,37.3354159933,127.1086535026
수지구,노블산부인과의원,1.0,37.3067600253,127.0846083156
수지구,메디서울이비인후과의원,1.0,37.3231017192,127.0948684138
수지구,편한이비인후과의원,1.0,37.3131101297,127.0781858757
수지구,수지하나이비인후과의원,1.0,37.3067600253,127.0846083156
처인구,유사랑의원,1.0,37.2347971662,127.2139856421
처인구,에버플란트치과의원,1.0,37.2374261431,127.2090038363
기흥구,서울S가정의원,1.0,37.272869737,127.1201101974
수지구,클라스웰정형외과의원,2.0,37.3312494795,127.1275487633
기흥구,정앤남의원,1.0,37.2805493101,127.1116789191
수지구,노아한의원,1.0,37.3382501682,127.1016959956
수지구,해담이한의원,1.0,37.3279471819,127.0682489097
수지구,서울화봄의원,2.0,37.3319622673,127.1220817674
기흥구,굿모닝외과의원,2.0,37.271373164,127.1256896034
기흥구,연세베스트치과의원,1.0,37.2805897243,127.1130098097
기흥구,동백경희한의원,1.0,37.2818871523,127.1597729323
수지구,삼성굿모닝의원,1.0,37.3359679003,127.0932301842
기흥구,서울함께웃는치과의원,1.0,37.2540047777,127.1094245801
기흥구,소명한의원,1.0,37.269130245,127.1067072316
기흥구,박진녕소아청소년과의원,1.0,37.2941660066,127.118965143
처인구,용인한방병원,15.0,37.235231826,127.2037925189
기흥구,보정경희한의원,1.0,37.3200530391,127.110380987
기흥구,케어스힐요양병원,31.0,37.2547928888,127.107875611
기흥구,기흥경희한의원,1.0,37.2811266369,127.1118113199
기흥구,비젼플러스치과의원,1.0,37.3198435021,127.1152126301
기흥구,연세프라임안과의원,2.0,37.3207707232,127.1120815431
기흥구,센트럴치과의원,1.0,37.2759130636,127.0715918075
기흥구,동백요양병원,23.0,37.2767026422,127.1530508698
기흥구,호미당한의원,1.0,37.288644654,127.1119306444
기흥구,초당한의원,1.0,37.2767155941,127.1108300597
기흥구,늘푸른이비인후과의원,1.0,37.2961340029,127.1521267161
기흥구,미래의원,1.0,37.2437121872,127.0658209559
수지구,엘림의원,1.0,37.3172532318,127.072248883
기흥구,안강한의원,1.0,37.3202578404,127.1151202264
처인구,한숲밝은아이소아청소년과의원,1.0,37.1528263228,127.1701945982
기흥구,우리소아청소년과의원,2.0,37.2506102836,127.1078409073
기흥구,수의원,1.0,37.2540476668,127.1198326015
수지구,온새미로한의원,1.0,37.3605422858,127.058768577
수지구,린한의원,1.0,37.3403941778,127.0986478168
기흥구,아이티치과의원,1.0,37.2707064991,127.0675947052
기흥구,강동요양병원,15.0,37.2805493101,127.1116789191
기흥구,우리한의원,1.0,37.2682130437,127.096651452
기흥구,연세물푸레소아청소년과의원,1.0,37.2955932405,127.1521517718
기흥구,남산한의원,1.0,37.2313669804,127.1083238797
기흥구,김앤서내과의원,3.0,37.2696282579,127.1535908817
기흥구,효자병원,70.0,37.2501626884,127.1521013794
기흥구,연세김내과의원,15.0,37.2780109377,127.1534847899
기흥구,서정형외과의원,1.0,37.3202924261,127.114668593
기흥구,성모삼성마취통증의학과의원,1.0,37.2540047777,127.1094245801
수지구,영재한의원,1.0,37.3343406183,127.0970996331
수지구,한샘한의원,1.0,37.327036095,127.0961340576
수지구,수지좋은치과의원,1.0,37.3212347984,127.0945624118
수지구,수지미래의원,4.0,37.3255307288,127.0961195401
기흥구,대동내과의원,1.0,37.2696576039,127.0666983958
기흥구,이상석내과의원,1.0,37.2805880268,127.1124909157
기흥구,정다운내과의원,1.0,37.2633041773,127.1085081622
기흥구,서울삼성치과의원,2.0,37.2805880268,127.1124909157
기흥구,서울한스마일치과의원,2.0,37.274900575,127.115362541
수지구,최진택한의원,1.0,37.2963081165,127.0681590197
기흥구,경희부부한의원,2.0,37.2765156269,127.0737090085
처인구,마음심는치과의원,1.0,37.1642706181,127.3749554146
기흥구,제니스피부과의원,1.0,37.2765156269,127.0737090085
기흥구,친구들소아청소년과의원,4.0,37.2759130636,127.0715918075
수지구,이튼치과의원,1.0,37.3094689666,127.085970158
수지구,이레치과의원,1.0,37.3231779493,127.0779941675
수지구,안종인치과의원,1.0,37.317565643,127.0689177419
수지구,죽전본정형외과의원,1.0,37.3316684067,127.1175905638
기흥구,백세한의원,1.0,37.2941787558,127.1201271788
처인구,한숲코알라이비인후과의원,1.0,37.1546508742,127.17479274
기흥구,행복한경희한의원,1.0,37.2998077073,127.10761947
수지구,이이비인후과의원,2.0,37.3067600253,127.0846083156
수지구,사랑이가득한치과의원,2.0,37.3234111964,127.0957471295
수지구,연세예본치과의원,1.0,37.3130500075,127.0790213261
수지구,연세W치과의원,1.0,37.3287952016,127.1154943266
수지구,보스톤서울치과의원,1.0,37.3157925018,127.0746158796
수지구,연세수지아이들치과의원,1.0,37.3067600253,127.0846083156
기흥구,경기도립노인전문용인병원,37.0,37.250729009,127.1546471639
수지구,서울한치과의원,1.0,37.331958077,127.1264390239
기흥구,동백트리플에이치과의원,1.0,37.2820308224,127.1595805132
기흥구,미래아이소아과의원,2.0,37.282147613,127.1594446183
기흥구,연세웰치과의원,1.0,37.3202717865,127.1138673623
수지구,서울삼성치과교정과치과의원,1.0,37.3223539289,127.0949740086
처인구,연세수정형외과의원,1.0,37.2349698366,127.1964430778
기흥구,뉴욕다나치과의원,1.0,37.2767692888,127.0715643954
기흥구,이경오내과의원,1.0,37.2759130636,127.0715918075
기흥구,다혜한의원,1.0,37.2770186471,127.1097907432
기흥구,조성각한의원,1.0,37.2934946493,127.1204239617
기흥구,우리이비인후과의원,1.0,37.3003023414,127.1072783973
수지구,수지퍼스트내과의원,3.0,37.3401855678,127.0929929395
기흥구,김재한내과의원,1.0,37.3207314502,127.1138537241
기흥구,강남임내과의원,1.0,37.2712366915,127.1281491236
기흥구,미래마취통증의학과의원,1.0,37.2937905111,127.1199260466
기흥구,동백피부과의원,1.0,37.2815748401,127.1608798426
수지구,수지한빛정형외과의원,1.0,37.327377151,127.095703308
기흥구,자연치과의원,1.0,37.2810753122,127.144243228
처인구,올리브치과의원,1.0,37.2343455592,127.1955436906
수지구,닥터필한의원,1.0,37.3219458759,127.0942651385
기흥구,오정형외과의원,1.0,37.2995671756,127.1084782523
기흥구,김람훈내과의원,1.0,37.2945301484,127.1200802816
기흥구,서울미소디자인치과의원,1.0,37.2779963615,127.1515897965
처인구,성모서울치과의원,2.0,37.2354486721,127.2076247604
수지구,미소치과의원,2.0,37.3125953981,127.0804570894
수지구,봄누리치과의원,1.0,37.3078599768,127.0846812565
처인구,용인아나파마취통증의학과의원,2.0,37.2356160021,127.2060345057
처인구,THE웃는치과의원,1.0,37.2327126723,127.1880985507
수지구,광교미소바른치과의원,1.0,37.2985199322,127.0690941599
기흥구,굿모닝한방병원,58.0,37.2767692888,127.0715643954
기흥구,글로리아치과교정과치과의원,1.0,37.2765156269,127.0737090085
기흥구,용인이엠365의원,9.0,37.2360865912,127.0733279769
수지구,열린이비인후과의원,1.0,37.3126742793,127.0798246757
수지구,서울제일내과의원,6.0,37.2976750233,127.0697533954
기흥구,보라연한의원,2.0,37.2535998246,127.109629647
처인구,허리편한 신경외과의원,4.0,37.2346455808,127.2036595284
처인구,포브스요양병원,22.0,37.2349518344,127.2108622369
처인구,로하스용인요양병원,21.0,37.2350566053,127.1986523816
수지구,수지베스트내과의원,3.0,37.3234111964,127.0957471295
기흥구,준정형외과의원,1.0,37.2506102836,127.1078409073
기흥구,다솔한의원,1.0,37.2995671756,127.1084782523
기흥구,굿모닝안과의원,1.0,37.2770102362,127.1534329772
기흥구,강북삼성수원의원,90.0,37.2707064991,127.0675947052
기흥구,서울소아청소년과의원,1.0,37.2765258357,127.0715432154
기흥구,365일이가편한연세치과의원,2.0,37.3039631961,127.1243094634
기흥구,이플러스넷치과의원,1.0,37.2438954782,127.0666429798
기흥구,유앤아이시카고치과의원,3.0,37.2759130636,127.0715918075
기흥구,에이스치과의원,1.0,37.2662093588,127.1065983608
수지구,성복365괜추나한의원,8.0,37.3136473992,127.0797176909
수지구,연세차온정형외과의원,2.0,37.3131101297,127.0781858757
처인구,(홍인의료소비자생활협동조합)우리현대의원,1.0,37.2347106125,127.2836799497
수지구,수지부부치과의원,3.0,37.3216283433,127.0936686548
수지구,의료법인엔티엘의료재단엔티엘의원,7.0,37.3319197413,127.1200613984
처인구,용인서울요양병원,25.0,37.2523308069,127.2071648663
기흥구,바로서울치과의원,1.0,37.2816816156,127.1603942945
기흥구,동백서울유치과의원,3.0,37.2713093829,127.1520604982
기흥구,자경한의원,1.0,37.2759130636,127.0715918075
기흥구,모아치과의원,1.0,37.2804831435,127.113495416
수지구,삼성박내과의원,2.0,37.3134187664,127.0787935621
기흥구,위즈플러스치과의원,1.0,37.2778409741,127.0737917751
수지구,용한외과의원,2.0,37.3246253049,127.0975804177
기흥구,다시봄날의원,1.0,37.2767771477,127.0737413735
처인구,서원치과의원,1.0,37.234828989,127.2122380979
수지구,수강한의원,1.0,37.3219790182,127.0960482544
수지구,숨쉬는한의원,2.0,37.3231017192,127.0948684138
처인구,용인이안한방병원,15.0,37.2318378151,127.1879105092
수지구,꿈이자라는치과의원,1.0,37.315535965,127.0759716093
기흥구,센트럴이비인후과의원,1.0,37.2744903299,127.1167181784
기흥구,본치과의원,2.0,37.2693569509,127.1532875962
처인구,경희한의원,2.0,37.2370383492,127.2089264087
수지구,바른솔내과의원,3.0,37.3275359689,127.1135592918
기흥구,예일내과의원,7.0,37.2712510721,127.1074744579
기흥구,삼성정형외과의원,2.0,37.2535998246,127.109629647
수지구,엠에스안과의원,3.0,37.3359720542,127.0918190663
처인구,구름정신건강의학과의원,1.0,37.235083647,127.2058223717
처인구,미래내과의원,1.0,37.343251433,127.1782374814
처인구,연세소리이비인후과의원,2.0,37.2362691374,127.1899779162
처인구,미소진치과의원,1.0,37.2391997155,127.1735842902
기흥구,연세OK한의원,1.0,37.2696395308,127.1512899398
기흥구,누리내과의원,10.0,37.3200530391,127.110380987
기흥구,경희김형태한의원,2.0,37.274993293,127.071495503
처인구,태양한의원,1.0,37.1658921402,127.3739840834
기흥구,기흥서울치과의원,2.0,37.2744903299,127.1167181784
수지구,수지OK경희한의원,1.0,37.3244114686,127.0983152154
기흥구,원정형외과의원,1.0,37.3200530391,127.110380987
처인구,임플라인치과의원,2.0,37.2350566053,127.1986523816
기흥구,연세의원,1.0,37.3077128173,127.1103205396
수지구,휴플러스치과의원,1.0,37.3127533049,127.0817765905
기흥구,용인나로한방병원,13.0,37.2780109377,127.1534847899
기흥구,서울정형외과의원,1.0,37.2770102362,127.1534329772
기흥구,기흥마음정신건강의학과의원,2.0,37.2805493101,127.1116789191
처인구,연세플란트치과의원,1.0,37.2682674813,127.2145132595
기흥구,용인연세병원,28.0,37.2743079721,127.1389962381
수지구,마음과마음정신과의원,1.0,37.3219790182,127.0960482544
처인구,용인척의원,1.0,37.1532721071,127.1716679279
수지구,자연미의원,3.0,37.3275359689,127.1135592918
기흥구,경동한의원,1.0,37.2939104045,127.1207716299
수지구,청춘의원,1.0,37.3126742793,127.0798246757
수지구,현치과의원,1.0,37.3277953492,127.0686335545
처인구,역북참내과의원,3.0,37.2312757659,127.1867065968
수지구,수지한의원,4.0,37.3223539289,127.0949740086
기흥구,용인부부한의원,2.0,37.3207560951,127.1131199759
기흥구,현이비인후과의원,4.0,37.2717390293,127.1051258571
수지구,수지서울정형외과의원,1.0,37.3245163306,127.0947028007
기흥구,참사랑산부인과의원,1.0,37.2798637806,127.111535796
기흥구,동백에이스의원,1.0,37.276942423,127.1487746634
기흥구,흥덕튼튼정형외과의원,2.0,37.2759130636,127.0715918075
기흥구,보정탑정형외과의원,2.0,37.3202578404,127.1151202264
처인구,명지본튼튼의원,1.0,37.2322784578,127.1875141269
기흥구,다온한의원,1.0,37.2699544713,127.1541758912
처인구,현대정형외과의원,3.0,37.3367181447,127.2498257793
수지구,에스더산부인과의원,3.0,37.3222128738,127.0959002755
기흥구,메이퓨어의원,2.0,37.277386404,127.1526078104
기흥구,이웃집한의원 용인동백점,1.0,37.2824185473,127.15962389
수지구,자연아이한방소아과한의원,1.0,37.321509033,127.0956783121
기흥구,서울위더스치과의원,1.0,37.2765156269,127.0737090085
수지구,광교바른내과의원,2.0,37.2965652688,127.0694663618
수지구,서울경희한의원,1.0,37.3201470994,127.0980783245
기흥구,참바른 신경외과의원,1.0,37.2824185473,127.15962389
처인구,에제르 요양병원,7.0,37.2404876977,127.2643050203
기흥구,서울위캔치과의원,1.0,37.2798646687,127.1118065207
수지구,밝은누리안과의원,2.0,37.3219790182,127.0960482544
기흥구,세림한의원,1.0,37.2731220232,127.137321272
