지역,사업장명,의사수,위도,경도
수지구,수지좋은치과의원,2.0,37.3212348,127.0945624
수지구,서울바로치과의원,1.0,37.33558825,127.0903085
처인구,연세세브란스치과의원,1.0,37.23406711,127.1889836
수지구,김광호치과의원,1.0,37.3162791,127.0720738
기흥구,현치과의원,1.0,37.24371219,127.065821
수지구,미담치과의원,1.0,37.3201471,127.0980783
기흥구,부부치과의원,1.0,37.27754516,127.110916
처인구,아름다운치과의원,1.0,37.23539322,127.2070726
처인구,오복치과의원,1.0,37.23502741,127.2085959
수지구,이사랑치과의원,2.0,37.31756564,127.0689177
수지구,안종인치과의원,1.0,37.31756564,127.0689177
처인구,문치과의원,1.0,37.33685361,127.2499495
기흥구,연세의치과의원,1.0,37.25432179,127.1098853
처인구,우리좋은치과의원,1.0,37.23933421,127.1733244
수지구,서울삼성치과의원,1.0,37.30676003,127.0846083
기흥구,연원필치과의원,1.0,37.30030234,127.1072784
수지구,"인,인치과의원",1.0,37.32183713,127.0940964
수지구,상현서울치과의원,1.0,37.30785998,127.0846813
수지구,페리오치과의원,1.0,37.33328155,127.0931657
처인구,용인예치과의원,1.0,37.23703835,127.2089264
처인구,모현치과의원,1.0,37.33651073,127.2497813
기흥구,조이치과의원,1.0,37.30030234,127.1072784
기흥구,동백진치과의원,1.0,37.28241855,127.1596239
기흥구,연세봄치과의원,1.0,37.32073278,127.11426
기흥구,연세드림치과의원,1.0,37.27984941,127.1126526
기흥구,서천프라임치과의원,1.0,37.23683173,127.0724895
수지구,연세스마트치과의원,2.0,37.29838789,127.0699637
수지구,수지연세NY치과의원,2.0,37.30608423,127.0846797
처인구,용인치과의원,4.0,37.23508365,127.2058224
처인구,서울온그린치과의원,1.0,37.23626831,127.1896623
처인구,편한미소치과의원,1.0,37.23528341,127.2064078
기흥구,덴아트치과의원,1.0,37.30397128,127.1046527
수지구,심훈치과의원,1.0,37.30608423,127.0846797
기흥구,e편한치과의원,1.0,37.27173903,127.1051259
수지구,수지예인치과의원,3.0,37.32197902,127.0960483
수지구,고운치과의원,1.0,37.33124948,127.1275488
수지구,예향치과의원,1.0,37.31565726,127.0771221
수지구,흰돌치과의원,1.0,37.34089226,127.0993338
처인구,이편한연세치과의원,1.0,37.15532622,127.1712649
처인구,사랑치과의원,1.0,37.23548899,127.2057081
