지역,사업장명,경도,위도,의사수
처인구,우리들온누리약국,127.1741061,37.1545927,1
수지구,베델약국,127.0966345,37.3323534,1
기흥구,효성온누리약국,127.1209214,37.2931855,1
수지구,예쁜약국,127.0780476,37.3232084,1
수지구,아름약국,127.0962065,37.3402999,1
기흥구,튼튼약국,127.0718775,37.2758482,1
처인구,다정약국,127.2092988,37.2338949,1
처인구,독일약국,127.2172301,37.2852346,1
수지구,데일리약국,127.0942539,37.3225625,1
수지구,세종옵티마약국,127.0761904,37.3084377,1
기흥구,참조은약국,127.1072867,37.3003072,1
처인구,남사약국,127.1501238,37.1140901,1
처인구,다인약국,127.1948421,37.2352292,1
기흥구,용인하나로약국,127.135846,37.2660481,1
기흥구,동백미소약국,127.1608964,37.2815742,1
수지구,새보건약국,127.0962632,37.3229878,1
수지구,푸른솔약국,127.0687184,37.2969741,1
기흥구,다정온누리약국,127.1089962,37.3202104,1
기흥구,건강소망약국,127.1534754,37.2780227,1
처인구,세인약국,127.2493471,37.3366227,1
기흥구,꿈나무 약국,127.0737226,37.2764914,1
수지구,청호 한약국,127.0849269,37.3084997,1
수지구,현진약국,127.0849269,37.3084997,1
처인구,용인능원약국,127.155854,37.3305992,1
기흥구,온누리파랑새약국,127.1106011,37.3019631,1
수지구,광교윤하약국,127.0698178,37.2978997,1
처인구,참조은약국,127.2139866,37.2347906,1
기흥구,정다운약국,126.7359063,37.7284902,1
수지구,즐거운약국,127.1142765,37.3286455,1
처인구,모성약국,127.1985127,37.2367722,1
수지구,참바른약국,127.0957378,37.3253039,1
기흥구,셀메드주오약국,127.1199074,37.293779,1
처인구,새서울약국,127.2161121,37.269256,1
기흥구,휴베이스 구성약국,127.1072867,37.3003072,1
기흥구,미소약국,127.1152614,37.31986,1
수지구,바른약국,127.0944423,37.3389756,1
수지구,조이약국,127.0876577,37.3199328,1
기흥구,강남효약국,127.1105561,37.2736499,1
수지구,광교푸른약국,127.0696673,37.2973522,1
기흥구,녹원약국,127.1112006,37.2890878,1
기흥구,청춘약국,127.1091443,37.2965659,1
수지구,동천약국,127.0932417,37.3359642,1
기흥구,기쁨온누리약국,127.1078455,37.2506081,1
수지구,광교튼튼약국,127.0697541,37.2976618,1
처인구,윤약국,127.1427449,37.1454699,1
수지구,매일봄약국,127.0931756,37.333275,1
기흥구,프라자약국,127.0715651,37.2765064,1
기흥구,스마일약국,127.1240106,37.3037362,1
수지구,수지우리약국,127.0726464,37.3179255,1
수지구,봄빛약국,127.0918617,37.3225343,1
기흥구,애플약국,127.0737226,37.2764914,1
수지구,초록약국,127.0975182,37.3234132,1
수지구,윤진약국,127.0933916,37.3356541,1
처인구,선한약국,127.1997884,37.2347251,1
수지구,수지햇살약국,127.0698593,37.2981498,1
수지구,수지한림약국,127.095532,37.3235444,1
기흥구,가나약국,127.1521398,37.2955662,1
기흥구,세일약국,127.1521324,37.2964488,1
처인구,미소약국,127.2082395,37.2353574,1
기흥구,노블카운티약국,127.0838705,37.2533475,1
수지구,태광약국,127.0787721,37.3134799,1
