지역,사업장명,의사수,위도,경도
수지구,진수신경외과의원,1,37.3073759262,127.0854512638
수지구,정인석마취통증의학과의원,2,37.3403941778,127.0986478168
수지구,미래연세내과의원,1,37.3064741979,127.085354655
수지구,에스더산부인과의원,12,37.3267375398,127.1092290234
수지구,수지서울정형외과의원,1,37.3245163306,127.0947028007
처인구,연세노바피부과의원,1,37.2354412151,127.2082561216
기흥구,오즈소아청소년과의원,1,37.2543217861,127.1098852831
수지구,다엘의원,1,37.3197625692,127.0833291279
수지구,동천연세소아청소년과의원,1,37.3356619393,127.0933785874
수지구,수지맑은피부과의원,1,37.3067600253,127.0846083156
수지구,김진영내과의원,1,37.3233289261,127.0773612587
수지구,삼성굿모닝의원,2,37.3359679003,127.0932301842
수지구,박수언소아청소년과의원,1,37.3319646446,127.1228267751
수지구,하이탑비뇨기과의원,1,37.3271642293,127.1128952359
수지구,용한외과의원,1,37.3246253049,127.0975804177
수지구,365튼튼연합의원,2,37.3094689666,127.085970158
수지구,편한이비인후과의원,1,37.3131101297,127.0781858757
수지구,반석정형외과의원,1,37.3284691292,127.1150106194
수지구,마음과마음정신과의원,3,37.3219790182,127.0960482544
수지구,수내과의원,2,37.3312494795,127.1275487633
수지구,밝은누리안과의원,2,37.3219790182,127.0960482544
수지구,맑은신경과의원,1,37.322536172,127.095548655
수지구,이영은소아청소년과의원,3,37.3067600253,127.0846083156
수지구,아주맑은이비인후과의원,3,37.3201470994,127.0980783245
수지구,수지21세기의원,2,37.3084428246,127.0761919997
처인구,용인아나파마취통증의학과의원,2,37.2348547612,127.2044027741
기흥구,필스토리의원,1,37.3207807106,127.115140133
수지구,성복이안소아청소년과의원,2,37.3126742793,127.0798246757
기흥구,연세미앤필의원,1,37.2937905111,127.1199260466
기흥구,늘푸른이비인후과의원,1,37.2961340029,127.1521267161
기흥구,마음초롱정신건강의학과의원,1,37.3207707232,127.1120815431
기흥구,에이원성형외과의원,7,37.3075013358,127.0982923429
수지구,신봉정형외과의원,1,37.3231779493,127.0779941675
수지구,미아뜨의원,1,37.3222451847,127.0948052915
수지구,유영일내과의원,1,37.327054069,127.1122862794
수지구,장이비인후과의원,1,37.327054069,127.1122862794
처인구,상쾌한이비인후과의원,1,37.2354412151,127.2082561216
기흥구,베르나르의원,1,37.2539470443,127.1083197792
기흥구,미모아피부과의원,1,37.2779963615,127.1515897965
수지구,서울안과의원,1,37.3286110329,127.1142987721
수지구,고은하늘성형외과의원,2,37.3234111964,127.0957471295
수지구,이안소아청소년과의원,2,37.3222128738,127.0959002755
수지구,수지서울안과의원,2,37.3067600253,127.0846083156
수지구,초이스이비인후과의원,1,37.3235993369,127.0773597443
수지구,이승복내과의원,1,37.3073759262,127.0854512638
수지구,한내과의원,1,37.319741597,127.0981143428
수지구,수지정형외과의원,1,37.3218371307,127.0940964234
수지구,자연미의원,1,37.3284691292,127.1150106194
수지구,동천서울이비인후과의원,1,37.3356619393,127.0933785874
수지구,명문내과의원,2,37.3067600253,127.0846083156
수지구,성안의원,2,37.3262083476,127.1183180491
수지구,한솔이비인후과의원,1,37.3319501026,127.1239218006
수지구,김상현마취통증의학과의원,2,37.327036095,127.0961340576
수지구,예담이비인후과의원,1,37.3206332134,127.0697015604
기흥구,리더스정형외과의원,1,37.2765156269,127.0737090085
기흥구,현탑안과의원,1,37.3202016562,127.1089807048
수지구,우리이비인후과의원,1,37.3403048341,127.0962323575
